region,rounded_price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_range
others,36000,1965,others,gto,good,5,gas,manual,4wd,sedan,50k-100k
san diego,4000,2006,volkswagen,new beetle,good,5,gas,manual,fwd,hatchback,150k-200k
north jersey,31000,2018,honda,odyssey,good,5,gas,automatic,4wd,sedan,20k-50k
charlotte,12000,2010,honda,odyssey,excellent,6,gas,automatic,fwd,van,100k-150k
others,20000,2016,bmw,4 series,good,4,gas,automatic,rwd,sedan,50k-100k
others,8000,1985,mercedes-benz,380-class 380 sl,good,5,gas,automatic,rwd,convertible,150k-200k
others,37000,2019,ram,1500 big horn/lone star,good,5,other,automatic,4wd,pickup,50k-100k
others,19000,2019,subaru,outback 2.5i premium,excellent,4,gas,automatic,4wd,sedan,0-20k
others,34000,2007,ford,Hino 268,good,6,diesel,automatic,rwd,truck,150k-200k
chicago,10000,2014,ford,fusion se,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,6000,2015,nissan,versa,good,5,gas,automatic,4wd,sedan,50k-100k
others,16000,2015,ram,1500,excellent,8,gas,automatic,rwd,pickup,200k-300k
denver,27000,2015,bmw,528i 5 series,good,4,gas,automatic,rwd,sedan,20k-50k
others,16000,2013,honda,accord ex-l,good,5,other,automatic,fwd,coupe,50k-100k
others,20000,2018,ford,peterbilt 579,good,5,diesel,automatic,4wd,sedan,0-20k
others,7000,2007,toyota,sienna xle,good,5,gas,automatic,fwd,mini-van,150k-200k
others,20000,2011,chevrolet,cruze,like new,4,gas,automatic,fwd,sedan,100k-150k
others,13000,2014,ford,edge,excellent,6,gas,automatic,4wd,SUV,100k-150k
others,12000,2014,others,cooper countryman,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,58000,2019,ford,f250 super duty lariat,good,5,diesel,automatic,4wd,sedan,100k-150k
others,20000,1977,ford,1977 mgb convertible,good,4,gas,manual,rwd,convertible,100k-150k
others,20000,2018,ford,f-150 platinumcrew cab,excellent,6,gas,automatic,4wd,truck,50k-100k
"st louis, MO",9000,2010,others,enclave,like new,6,gas,automatic,fwd,SUV,150k-200k
sacramento,18000,2007,toyota,tacoma,excellent,6,gas,automatic,rwd,pickup,100k-150k
others,29000,2016,chevrolet,silverado 1500 ltz,excellent,8,gas,automatic,4wd,pickup,50k-100k
others,40000,2019,toyota,tacoma 2wd trd sport double cab 5' bed v6 at (natl),good,5,gas,automatic,rwd,pickup,0-20k
tucson,18000,2013,honda,civic,good,5,other,manual,fwd,sedan,50k-100k
orange county,8000,2010,ford,flex sel,excellent,5,gas,automatic,4wd,sedan,100k-150k
